bnumber	dbname	dbid
b0023	GeneID	944759
b0024	UniProtKB/Swiss-Prot	P75620
b0024	ASAP	ABE-0000089
b0024	ECOCYC	G6087
b0024	GeneID	949128
b0025	UniProtKB/Swiss-Prot	P0AG40
b0025	ASAP	ABE-0000091
b0025	ECOCYC	EG11079
b0025	GeneID	949129
b0026	UniProtKB/Swiss-Prot	P00956
b0026	ASAP	ABE-0000094
b0026	ECOCYC	EG10492
b0026	GeneID	944761
b0027	UniProtKB/Swiss-Prot	P00804
b0027	ASAP	ABE-0000096
b0027	ECOCYC	EG10548
b0027	GeneID	944800
b0028	UniProtKB/Swiss-Prot	P0AEM0
b0028	ASAP	ABE-0000101
b0028	ECOCYC	EG11080
b0028	GeneID	944807
b0029	UniProtKB/Swiss-Prot	P62623
b0029	ASAP	ABE-0000103
b0029	ECOCYC	EG11081
b0029	GeneID	944777
b0030	UniProtKB/Swiss-Prot	P22564
b0030	ASAP	ABE-0000109
b0030	ECOCYC	EG11082
b0030	GeneID	944796
b0031	UniProtKB/Swiss-Prot	P04036
b0031	ASAP	ABE-0000112
b0031	ECOCYC	EG10206
b0031	GeneID	944762
b0032	UniProtKB/Swiss-Prot	P0A6F1
b0032	ASAP	ABE-0000118
b0032	ECOCYC	EG10134
b0032	GeneID	949025
b0033	UniProtKB/Swiss-Prot	P00968
b0033	ASAP	ABE-0000121
b0033	ECOCYC	EG10135
b0033	GeneID	944775
b0034	UniProtKB/Swiss-Prot	P0AE58
b0034	ASAP	ABE-0000125
b0034	ECOCYC	G6088
b0034	GeneID	944795
b0035	UniProtKB/Swiss-Prot	P39206
b0035	ASAP	ABE-0000128
b0035	ECOCYC	EG12608
b0035	GeneID	948999
b0036	UniProtKB/Swiss-Prot	P31551
b0036	ASAP	ABE-0000130
b0036	ECOCYC	EG11557
b0036	GeneID	948995
b0037	UniProtKB/Swiss-Prot	P31552
b0037	ASAP	ABE-0000133
b0037	ECOCYC	EG11558
b0037	GeneID	944886
b0038	UniProtKB/Swiss-Prot	P31572
b0038	ASAP	ABE-0000136
b0038	ECOCYC	EG11559
b0038	GeneID	948997
b0039	UniProtKB/Swiss-Prot	P60584
b0039	ASAP	ABE-0000139
b0039	ECOCYC	EG11560
b0039	GeneID	949064
b0040	UniProtKB/Swiss-Prot	P31553
b0040	ASAP	ABE-0000141
b0040	ECOCYC	EG11561
b0040	GeneID	944765
b0041	UniProtKB/Swiss-Prot	P60566
b0041	ASAP	ABE-0000145
b0041	ECOCYC	EG11562
b0041	GeneID	947316
b0042	UniProtKB/Swiss-Prot	P31574
b0042	ASAP	ABE-0000147
b0042	ECOCYC	EG11563
b0042	GeneID	948939
b0043	UniProtKB/Swiss-Prot	P68644
b0043	ASAP	ABE-0000149
b0043	ECOCYC	EG11564
b0043	GeneID	948958
b0044	UniProtKB/Swiss-Prot	P68646
b0044	ASAP	ABE-0000151
b0044	ECOCYC	EG11565
b0044	GeneID	948590
b0045	UniProtKB/Swiss-Prot	P31679
b0045	ASAP	ABE-0000156
b0045	ECOCYC	EG11566
b0045	GeneID	944766
b0046	UniProtKB/Swiss-Prot	P0A754
b0046	ASAP	ABE-0000159
b0046	ECOCYC	EG11568
b0046	GeneID	944767
b0047	UniProtKB/Swiss-Prot	P03819
b0047	ASAP	ABE-0000161
b0047	ECOCYC	EG10521
b0047	GeneID	944773
b0048	UniProtKB/Swiss-Prot	P0ABQ4
b0048	ASAP	ABE-0000164
b0048	ECOCYC	EG10326
b0048	GeneID	944790
b0049	UniProtKB/Swiss-Prot	P05637
b0049	ASAP	ABE-0000167
b0049	ECOCYC	EG10048
b0049	GeneID	944770
b0050	UniProtKB/Swiss-Prot	P62672
b0050	ASAP	ABE-0000169
b0050	ECOCYC	EG10047
b0050	GeneID	944772
b0051	UniProtKB/Swiss-Prot	P06992
b0051	ASAP	ABE-0000175
b0051	ECOCYC	EG10523
b0051	GeneID	944939
b0052	UniProtKB/Swiss-Prot	P19624
b0052	ASAP	ABE-0000178
