bnumber	dbname	dbid
b0864	ECOCYC	EG11624
b0864	GeneID	945489
b0865	UniProtKB/Swiss-Prot	P75818
b0865	ASAP	ABE-0002941
b0865	ECOCYC	G6450
b0865	GeneID	945491
b0866	UniProtKB/Swiss-Prot	P0A8C1
b0866	ASAP	ABE-0002945
b0866	ECOCYC	G6451
b0866	GeneID	945493
b0867	UniProtKB/Swiss-Prot	P75820
b0867	ASAP	ABE-0002947
b0867	ECOCYC	G6452
b0867	GeneID	945494
b0868	UniProtKB/Swiss-Prot	P75821
b0868	ASAP	ABE-0002949
b0868	ECOCYC	G6453
b0868	GeneID	945495
b0869	UniProtKB/Swiss-Prot	P75822
b0869	ASAP	ABE-0002951
b0869	ECOCYC	G6454
b0869	GeneID	945496
b0870	UniProtKB/Swiss-Prot	P75823
b0870	ASAP	ABE-0002954
b0870	ECOCYC	G6455
b0870	GeneID	944955
b0871	UniProtKB/Swiss-Prot	P07003
b0871	ASAP	ABE-0002958
b0871	ECOCYC	EG10754
b0871	GeneID	946132
b0872	UniProtKB/Swiss-Prot	P75824
b0872	ASAP	ABE-0002960
b0872	ECOCYC	G6456
b0872	GeneID	947660
b0873	UniProtKB/Swiss-Prot	P75825
b0873	ASAP	ABE-0002962
b0873	ECOCYC	G6457
b0873	GeneID	946592
b0874	UniProtKB/Swiss-Prot	P75826
b0874	ASAP	ABE-0002966
b0874	ECOCYC	G6458
b0874	GeneID	947142
b0875	UniProtKB/Swiss-Prot	P60844
b0875	ASAP	ABE-0002976
b0875	ECOCYC	EG13270
b0875	GeneID	945497
b0876	UniProtKB/Swiss-Prot	P75828
b0876	ASAP	ABE-0002980
b0876	ECOCYC	G6459
b0876	GeneID	945498
b0877	UniProtKB/Swiss-Prot	P75829
b0877	ASAP	ABE-0002982
b0877	ECOCYC	G6460
b0877	GeneID	946025
b0878	UniProtKB/Swiss-Prot	P75830
b0878	ASAP	ABE-0002986
b0878	ECOCYC	G6461
b0878	GeneID	947322
b0879	UniProtKB/Swiss-Prot	P75831
b0879	ASAP	ABE-0002989
b0879	ECOCYC	G6462
b0879	GeneID	945164
b0880	UniProtKB/Swiss-Prot	P0A968
b0880	ASAP	ABE-0002991
b0880	ECOCYC	EG11111
b0880	GeneID	945669
b4770	UniProtKB/Swiss-Prot	P0DSE8
b4770	ECOCYC	G0-17016
b4770	GeneID	63925631
b0881	UniProtKB/Swiss-Prot	P0A8Q6
b0881	ASAP	ABE-0002998
b0881	ECOCYC	G6463
b0881	GeneID	948443
b0882	UniProtKB/Swiss-Prot	P0ABH9
b0882	ASAP	ABE-0003001
b0882	ECOCYC	EG10156
b0882	GeneID	945764
b0884	UniProtKB/Swiss-Prot	P69222
b0884	ASAP	ABE-0003005
b0884	ECOCYC	EG10504
b0884	GeneID	945500
b0885	UniProtKB/Swiss-Prot	P0A8P1
b0885	ASAP	ABE-0003009
b0885	ECOCYC	EG11112
b0885	GeneID	945490
b0886	UniProtKB/Swiss-Prot	P23886
b0886	ASAP	ABE-0003012
b0886	ECOCYC	EG10012
b0886	GeneID	945504
b0887	UniProtKB/Swiss-Prot	P29018
b0887	ASAP	ABE-0003015
b0887	ECOCYC	EG11405
b0887	GeneID	949052
b0888	UniProtKB/Swiss-Prot	P0A9P4
b0888	ASAP	ABE-0003018
b0888	ECOCYC	EG11032
b0888	GeneID	949054
b0889	UniProtKB/Swiss-Prot	P0ACJ0
b0889	ASAP	ABE-0003023
b0889	ECOCYC	EG10547
b0889	GeneID	949051
b0890	UniProtKB/Swiss-Prot	P46889
b0890	ASAP	ABE-0003027
b0890	ECOCYC	G6464
b0890	GeneID	945102
b0891	UniProtKB/Swiss-Prot	P61316
b0891	ASAP	ABE-0003031
b0891	ECOCYC	G6465
b0891	GeneID	948989
b0892	UniProtKB/Swiss-Prot	P0AAZ4
b0892	ASAP	ABE-0003034
b0892	ECOCYC	EG12690
b0892	GeneID	945505
b0893	UniProtKB/Swiss-Prot	P0A8L1
b0893	ASAP	ABE-0003038
b0893	ECOCYC	EG10947
b0893	GeneID	945506
b0894	UniProtKB/Swiss-Prot	P18775
b0894	ASAP	ABE-0003044
b0894	ECOCYC	EG10232
b0894	GeneID	945508
b0895	UniProtKB/Swiss-Prot	P18776
b0895	ASAP	ABE-0003046
b0895	ECOCYC	EG10233
b0895	GeneID	945507
b0896	UniProtKB/Swiss-Prot	P18777
b0896	ASAP	ABE-0003048
b0896	ECOCYC	EG10234
b0896	GeneID	945502
b0897	UniProtKB/Swiss-Prot	P21367
b0897	ASAP	ABE-0003050
b0897	ECOCYC	EG11241
b0897	GeneID	945512
b0898	UniProtKB/Swiss-Prot	P21503
b0898	ASAP	ABE-0003056
b0898	ECOCYC	EG11242
b0898	GeneID	945515
b0899	UniProtKB/Swiss-Prot	P75835
b0899	ASAP	ABE-0003058
b0899	ECOCYC	G6466
b0899	GeneID	945518
b0900	UniProtKB/Swiss-Prot	P75836
b0900	ASAP	ABE-0003060
b0900	ECOCYC	G6467
b0900	GeneID	945523
b0901	UniProtKB/Swiss-Prot	P43340
b0901	ASAP	ABE-0003065
b0901	ECOCYC	EG12702
b0901	GeneID	945520
b0902	UniProtKB/Swiss-Prot	P0A9N4
b0902	ASAP	ABE-0003068
b0902	ECOCYC	EG10028
b0902	GeneID	945517
b0903	UniProtKB/Swiss-Prot	P09373
b0903	ASAP	ABE-0003071
b0903	ECOCYC	EG10701
b0903	GeneID	945514
b0904	UniProtKB/Swiss-Prot	P0AC23
b0904	ASAP	ABE-0003073
b0904	ECOCYC	EG11258
b0904	GeneID	945513
b0905	UniProtKB/Swiss-Prot	P75838
b0905	ASAP	ABE-0003081
b0905	ECOCYC	G6468
b0905	GeneID	945509
b0906	UniProtKB/Swiss-Prot	P75839
b0906	ASAP	ABE-0003089
b0906	ECOCYC	G6469
b0906	GeneID	945525
b0907	UniProtKB/Swiss-Prot	P23721
b0907	ASAP	ABE-0003093
b0907	ECOCYC	EG10946
b0907	GeneID	945527
b0908	UniProtKB/Swiss-Prot	P0A6D3
b0908	ASAP	ABE-0003095
b0908	ECOCYC	EG10073
b0908	GeneID	945528
b0909	UniProtKB/Swiss-Prot	P43674
b0909	ASAP	ABE-0003098
b0909	ECOCYC	G6470
b0909	GeneID	945534
b0910	UniProtKB/Swiss-Prot	P0A6I0
b0910	ASAP	ABE-0003101
b0910	ECOCYC	EG11265
b0910	GeneID	945535
b0911	UniProtKB/Swiss-Prot	P0AG67
b0911	ASAP	ABE-0003104
b0911	ECOCYC	EG10900
b0911	GeneID	945536
b0912	UniProtKB/Swiss-Prot	P0A6Y1
b0912	ASAP	ABE-0003107
b0912	ECOCYC	EG10441
b0912	GeneID	945533
b0913	UniProtKB/Swiss-Prot	P37443
b0913	ASAP	ABE-0003111
b0913	ECOCYC	EG12375
b0913	GeneID	945531
b0914	UniProtKB/Swiss-Prot	P60752
b0914	ASAP	ABE-0003113
b0914	ECOCYC	EG10613
b0914	GeneID	945530
b0915	UniProtKB/Swiss-Prot	P27300
b0915	ASAP	ABE-0003115
b0915	ECOCYC	EG11409
b0915	GeneID	945526
b0916	UniProtKB/Swiss-Prot	P75843
b0916	ASAP	ABE-0003117
b0916	ECOCYC	G6471
b0916	GeneID	945524
b0917	UniProtKB/Swiss-Prot	P0AAZ7
b0917	ASAP	ABE-0003120
b0917	ECOCYC	G6472
b0917	GeneID	945537
b0918	UniProtKB/Swiss-Prot	P04951
b0918	ASAP	ABE-0003122
b0918	ECOCYC	EG10519
b0918	GeneID	945539
b0919	UniProtKB/Swiss-Prot	P0AB03
b0919	ASAP	ABE-0003125
b0919	ECOCYC	G6473
b0919	GeneID	945545
b0920	UniProtKB/Swiss-Prot	P0AB01
b0920	ASAP	ABE-0003127
b0920	ECOCYC	EG12166
b0920	GeneID	945546
b0921	UniProtKB/Swiss-Prot	P36566
b0921	ASAP	ABE-0003131
b0921	ECOCYC	EG12167
b0921	GeneID	945547
b0922	UniProtKB/Swiss-Prot	P60293
b0922	ASAP	ABE-0003134
b0922	ECOCYC	EG12165
b0922	GeneID	945548
b0923	UniProtKB/Swiss-Prot	P22524
b0923	ASAP	ABE-0003136
b0923	ECOCYC	EG11252
b0923	GeneID	945550
b0924	UniProtKB/Swiss-Prot	P22523
b0924	ASAP	ABE-0003138
b0924	ECOCYC	EG10618
b0924	GeneID	945549
b0925	UniProtKB/Swiss-Prot	P22525
b0925	ASAP	ABE-0003142
b0925	ECOCYC	EG11253
b0925	GeneID	945541
b0926	UniProtKB/Swiss-Prot	P0AB06
b0926	ASAP	ABE-0003145
b0926	ECOCYC	G6474
b0926	GeneID	945538
b0927	UniProtKB/Swiss-Prot	P75849
b0927	ASAP	ABE-0003147
b0927	ECOCYC	G6475
b0927	GeneID	945551
b0928	UniProtKB/Swiss-Prot	P00509
b0928	ASAP	ABE-0003150
b0928	ECOCYC	EG10096
b0928	GeneID	945553
b0929	UniProtKB/Swiss-Prot	P02931
b0929	ASAP	ABE-0003153
b0929	ECOCYC	EG10671
b0929	GeneID	945554
b0930	UniProtKB/Swiss-Prot	P0A8M0
b0930	ASAP	ABE-0003162
b0930	ECOCYC	EG10094
b0930	GeneID	945555
b0931	UniProtKB/Swiss-Prot	P18133
b0931	ASAP	ABE-0003167
b0931	ECOCYC	EG10742
b0931	GeneID	946648
b0932	UniProtKB/Swiss-Prot	P04825
b0932	ASAP	ABE-0003171
b0932	ECOCYC	EG10696
b0932	GeneID	947253
b0933	UniProtKB/Swiss-Prot	P0AAI1
b0933	ASAP	ABE-0003173
b0933	ECOCYC	EG12358
b0933	GeneID	947220
b0934	UniProtKB/Swiss-Prot	P75851
b0934	ASAP	ABE-0003175
b0934	ECOCYC	G6476
b0934	GeneID	947216
b0935	UniProtKB/Swiss-Prot	P80645
b0935	ASAP	ABE-0003178
b0935	ECOCYC	G6477
b0935	GeneID	945557
b0936	UniProtKB/Swiss-Prot	P75853
b0936	ASAP	ABE-0003180
b0936	ECOCYC	G6478
b0936	GeneID	945560
b0937	UniProtKB/Swiss-Prot	P80644
b0937	ASAP	ABE-0003182
b0937	ECOCYC	G6479
b0937	GeneID	945947
b0938	UniProtKB/Swiss-Prot	P75855
b0938	ASAP	ABE-0003185
b0938	ECOCYC	G6480
b0938	GeneID	948306
b0939	UniProtKB/Swiss-Prot	P75856
b0939	ASAP	ABE-0003187
b0939	ECOCYC	G6481
b0939	GeneID	946773
b0940	UniProtKB/Swiss-Prot	P75857
b0940	ASAP	ABE-0003189
b0940	ECOCYC	G6482
b0940	GeneID	946934
b0941	UniProtKB/Swiss-Prot	P75858
b0941	ASAP	ABE-0003191
b0941	ECOCYC	G6483
b0941	GeneID	947185
b0942	UniProtKB/Swiss-Prot	P75859
b0942	ASAP	ABE-0003193
b0942	ECOCYC	G6484
b0942	GeneID	945561
b0943	UniProtKB/Swiss-Prot	P75860
b0943	ASAP	ABE-0003195
b0943	ECOCYC	G6485
b0943	GeneID	945562
b0944	UniProtKB/Swiss-Prot	P40876
b0944	ASAP	ABE-0003197
b0944	ECOCYC	EG12397
b0944	GeneID	945559
b0945	UniProtKB/Swiss-Prot	P0A7E1
b0945	ASAP	ABE-0003201
b0945	ECOCYC	EG10807
b0945	GeneID	945556
b0946	UniProtKB/Swiss-Prot	P75862
b0946	ASAP	ABE-0003204
b0946	ECOCYC	G6486
b0946	GeneID	945552
b0947	UniProtKB/Swiss-Prot	P75863
b0947	ASAP	ABE-0003206
b0947	ECOCYC	G6487
b0947	GeneID	945563
b0948	UniProtKB/Swiss-Prot	P75864
b0948	ASAP	ABE-0003211
b0948	ECOCYC	G6488
b0948	GeneID	945564
b0949	UniProtKB/Swiss-Prot	P43672
b0949	ASAP	ABE-0003213
b0949	ECOCYC	G6489
b0949	GeneID	945566
b0950	UniProtKB/Swiss-Prot	P0AFL9
b0950	ASAP	ABE-0003219
b0950	ECOCYC	G6490
b0950	GeneID	944999
b0951	UniProtKB/Swiss-Prot	P43671
b0951	ASAP	ABE-0003221
b0951	ECOCYC	G6491
b0951	GeneID	945653
b0952	UniProtKB/Swiss-Prot	P0AB10
b0952	ASAP	ABE-0003223
b0952	ECOCYC	G6492
b0952	GeneID	946972
b0953	UniProtKB/Swiss-Prot	P0AFW2
b0953	ASAP	ABE-0003227
b0953	ECOCYC	EG50004
b0953	GeneID	945567
b0954	UniProtKB/Swiss-Prot	P0A6Q3
b0954	ASAP	ABE-0003229
b0954	ECOCYC	EG10273
b0954	GeneID	945568
b0955	UniProtKB/Swiss-Prot	P75867
b0955	ASAP	ABE-0003233
b0955	ECOCYC	G6493
b0955	GeneID	945569
b0956	UniProtKB/Swiss-Prot	P0A8N0
b0956	ASAP	ABE-0003238
b0956	ECOCYC	EG12855
b0956	GeneID	945570
b0957	UniProtKB/Swiss-Prot	P0A910
b0957	ASAP	ABE-0003240
b0957	ECOCYC	EG10669
b0957	GeneID	945571
b0958	UniProtKB/Swiss-Prot	P0AFZ5
b0958	ASAP	ABE-0003244
b0958	ECOCYC	EG10984
b0958	GeneID	947335
b0959	UniProtKB/Swiss-Prot	P75869
b0959	ASAP	ABE-0003249
b0959	ECOCYC	G6494
b0959	GeneID	946504
b0960	UniProtKB/Swiss-Prot	P75870
b0960	ASAP	ABE-0003251
b0960	ECOCYC	G6495
b0960	GeneID	947001
b0961	UniProtKB/Swiss-Prot	P0AB12
b0961	ASAP	ABE-0003253
b0961	ECOCYC	G6496
b0961	GeneID	945594
b0962	UniProtKB/Swiss-Prot	P15038
b0962	ASAP	ABE-0003257
b0962	ECOCYC	EG10426
b0962	GeneID	946227
b0963	UniProtKB/Swiss-Prot	P0A731
b0963	ASAP	ABE-0003259
b0963	ECOCYC	G6497
b0963	GeneID	945574
b0964	UniProtKB/Swiss-Prot	P0A8X4
b0964	ASAP	ABE-0003262
b0964	ECOCYC	G6498
b0964	GeneID	945577
b0965	UniProtKB/Swiss-Prot	P75874
b0965	ASAP	ABE-0003267
b0965	ECOCYC	G6499
b0965	GeneID	949008
b0966	UniProtKB/Swiss-Prot	P0AB20
b0966	ASAP	ABE-0003269
b0966	ECOCYC	G6500
b0966	GeneID	945578
b0967	UniProtKB/Swiss-Prot	P75876
b0967	ASAP	ABE-0003272
b0967	ECOCYC	G6501
b0967	GeneID	946691
b0968	UniProtKB/Swiss-Prot	P0AB65
b0968	ASAP	ABE-0003276
b0968	ECOCYC	G6502
b0968	GeneID	945304
b0969	UniProtKB/Swiss-Prot	P0AB18
b0969	ASAP	ABE-0003278
b0969	ECOCYC	EG12876
b0969	GeneID	945023
b0970	UniProtKB/Swiss-Prot	P0AAC6
b0970	ASAP	ABE-0003280
b0970	ECOCYC	EG11113
b0970	GeneID	946016
b0972	UniProtKB/Swiss-Prot	P69739
b0972	ASAP	ABE-0003286
b0972	ECOCYC	EG10468
b0972	GeneID	945579
b0973	UniProtKB/Swiss-Prot	P0ACD8
b0973	ASAP	ABE-0003288
b0973	ECOCYC	EG10469
b0973	GeneID	945580
b0974	UniProtKB/Swiss-Prot	P0AAM1
b0974	ASAP	ABE-0003290
b0974	ECOCYC	EG10470
b0974	GeneID	945581
b0975	UniProtKB/Swiss-Prot	P19930
b0975	ASAP	ABE-0003292
b0975	ECOCYC	EG10471
b0975	GeneID	945575
b0976	UniProtKB/Swiss-Prot	P19931
b0976	ASAP	ABE-0003294
b0976	ECOCYC	EG10472
b0976	GeneID	945573
b0977	UniProtKB/Swiss-Prot	P19932
b0977	ASAP	ABE-0003296
b0977	ECOCYC	EG10473
b0977	GeneID	945572
b0978	UniProtKB/Swiss-Prot	P26459
b0978	ASAP	ABE-0003300
b0978	ECOCYC	EG11380
b0978	GeneID	945585
b0979	UniProtKB/Swiss-Prot	P26458
b0979	ASAP	ABE-0003302
b0979	ECOCYC	EG11379
b0979	GeneID	947547
b4592	UniProtKB/Swiss-Prot	P24244
b4592	ECOCYC	G0-10588
b4592	GeneID	948955
b0980	UniProtKB/Swiss-Prot	P07102
b0980	ASAP	ABE-0003305
b0980	ECOCYC	EG10049
b0980	GeneID	946206
b0981	UniProtKB/Swiss-Prot	P38134
b0981	ASAP	ABE-0003309
b0981	ECOCYC	EG11826
b0981	GeneID	947409
b0982	UniProtKB/Swiss-Prot	P0ACZ2
b0982	ASAP	ABE-0003312
b0982	ECOCYC	G6503
b0982	GeneID	945236
b0983	UniProtKB/Swiss-Prot	P0A932
b0983	ASAP	ABE-0003317
b0983	ECOCYC	G6504
b0983	GeneID	945586
b0984	UniProtKB/Swiss-Prot	P75882
b0984	ASAP	ABE-0003319
b0984	ECOCYC	G6505
b0984	GeneID	945588
b0985	UniProtKB/Swiss-Prot	P75883
b0985	ASAP	ABE-0003321
b0985	ECOCYC	G6506
b0985	GeneID	944978
b0986	UniProtKB/Swiss-Prot	P75884
b0986	ASAP	ABE-0003323
b0986	ECOCYC	G6507
b0986	GeneID	949118
b0987	UniProtKB/Swiss-Prot	P75885
b0987	ASAP	ABE-0003325
b0987	ECOCYC	G6508
b0987	GeneID	945029
b4516	UniProtKB/Swiss-Prot	P0CF10
b4516	ASAP	ABE-0285037
b4516	ECOCYC	G0-10430
b4516	GeneID	1450250
b0988	UniProtKB/Swiss-Prot	P57998
b0988	ASAP	ABE-0003338
b0988	ECOCYC	G6509
b0988	GeneID	945009
b0989	UniProtKB/Swiss-Prot	P0A982
b0989	ASAP	ABE-0003341
b0989	ECOCYC	G6510
b0989	GeneID	945590
b0990	UniProtKB/Swiss-Prot	P0A978
b0990	ASAP	ABE-0003346
b0990	ECOCYC	G6511
b0990	GeneID	945591
b4723	UniProtKB/Swiss-Prot	P0DPC8
b4723	ECOCYC	G0-16688
b4723	GeneID	38094947
b0991	UniProtKB/Swiss-Prot	P0AAA5
b0991	ASAP	ABE-0003349
b0991	ECOCYC	G6512
b0991	GeneID	946951
b4517	UniProtKB/Swiss-Prot	P0AC92
b4517	ASAP	ABE-0285038
b4517	ECOCYC	G0-9662
b4517	GeneID	1450249
b0992	UniProtKB/Swiss-Prot	P52636
b0992	ASAP	ABE-0003351
b0992	ECOCYC	G6513
b0992	GeneID	946295
b0993	UniProtKB/Swiss-Prot	P39453
b0993	ASAP	ABE-0003354
b0993	ECOCYC	G6514
b0993	GeneID	945595
b0994	UniProtKB/Swiss-Prot	P38683
b0994	ASAP	ABE-0003360
b0994	ECOCYC	G6515
b0994	GeneID	946289
b0995	UniProtKB/Swiss-Prot	P38684
b0995	ASAP	ABE-0003362
b0995	ECOCYC	EG12615
b0995	GeneID	946182
b0996	UniProtKB/Swiss-Prot	P33226
b0996	ASAP	ABE-0003370
b0996	ECOCYC	EG11815
b0996	GeneID	946252
b0997	UniProtKB/Swiss-Prot	P33225
b0997	ASAP	ABE-0003372
b0997	ECOCYC	EG11814
b0997	GeneID	946267
b0998	UniProtKB/Swiss-Prot	P36662
b0998	ASAP	ABE-0003374
b0998	ECOCYC	EG12195
b0998	GeneID	945625
b0999	UniProtKB/Swiss-Prot	P63264
b0999	ASAP	ABE-0003377
b0999	ECOCYC	EG12194
b0999	GeneID	945597
b1000	UniProtKB/Swiss-Prot	P36659
b1000	ASAP	ABE-0003379
b1000	ECOCYC	EG12193
b1000	GeneID	947572
b1001	UniProtKB/Swiss-Prot	P36661
b1001	ASAP	ABE-0003384
b1001	ECOCYC	EG12196
b1001	GeneID	947468
b1002	UniProtKB/Swiss-Prot	P19926
b1002	ASAP	ABE-0003388
b1002	ECOCYC	EG10033
b1002	GeneID	945773
b1003	UniProtKB/Swiss-Prot	P0AB14
b1003	ASAP	ABE-0003390
b1003	ECOCYC	EG12703
b1003	GeneID	948930
b1004	UniProtKB/Swiss-Prot	P0A8G6
b1004	ASAP	ABE-0003392
b1004	ECOCYC	EG11540
b1004	GeneID	947263
b4518	UniProtKB/Swiss-Prot	P56614
b4518	ASAP	ABE-0285039
b4518	ECOCYC	G0-10443
b4518	GeneID	945598
b1006	UniProtKB/Swiss-Prot	P75892
b1006	ASAP	ABE-0003401
b1006	ECOCYC	G6517
b1006	GeneID	946589
b1007	UniProtKB/Swiss-Prot	P75893
b1007	ASAP	ABE-0003403
b1007	ECOCYC	G6518
b1007	GeneID	946594
b1008	UniProtKB/Swiss-Prot	P75894
b1008	ASAP	ABE-0003407
b1008	ECOCYC	G6519
b1008	GeneID	946591
b1009	UniProtKB/Swiss-Prot	P75895
b1009	ASAP	ABE-0003410
b1009	ECOCYC	G6520
b1009	GeneID	946586
b1010	UniProtKB/Swiss-Prot	P0AFQ5
b1010	ASAP	ABE-0003412
b1010	ECOCYC	G6521
b1010	GeneID	945599
b1011	UniProtKB/Swiss-Prot	P75897
b1011	ASAP	ABE-0003414
b1011	ECOCYC	G6522
b1011	GeneID	945699
b1012	UniProtKB/Swiss-Prot	P75898
b1012	ASAP	ABE-0003416
b1012	ECOCYC	G6523
b1012	GeneID	945643
b1013	UniProtKB/Swiss-Prot	P0ACU2
b1013	ASAP	ABE-0003422
b1013	ECOCYC	EG12301
b1013	GeneID	945075
b1014	UniProtKB/Swiss-Prot	P09546
b1014	ASAP	ABE-0003424
b1014	ECOCYC	EG10801
b1014	GeneID	945600
b4737	UniProtKB/Swiss-Prot	P0DPN7
b4737	ECOCYC	G0-16732
b4737	GeneID	38094948
b1015	UniProtKB/Swiss-Prot	P07117
b1015	ASAP	ABE-0003433
b1015	ECOCYC	EG10802
b1015	GeneID	945602
b1018	UniProtKB/Swiss-Prot	P0AB24
b1018	ASAP	ABE-0003448
b1018	ECOCYC	G6527
b1018	GeneID	945603
b1019	UniProtKB/Swiss-Prot	P31545
b1019	ASAP	ABE-0003451
b1019	ECOCYC	EG11735
b1019	GeneID	946500
b1020	UniProtKB/Swiss-Prot	P0A9K1
b1020	ASAP	ABE-0003458
b1020	ECOCYC	EG11734
b1020	GeneID	948010
b1021	UniProtKB/Swiss-Prot	P69432
b1021	ASAP	ABE-0003460
b1021	ECOCYC	G6528
b1021	GeneID	947503
b1022	UniProtKB/Swiss-Prot	P75905
b1022	ASAP	ABE-0003464
b1022	ECOCYC	G6529
b1022	GeneID	945606
b1023	UniProtKB/Swiss-Prot	P75906
b1023	ASAP	ABE-0003467
b1023	ECOCYC	G6530
b1023	GeneID	945604
b1024	UniProtKB/Swiss-Prot	P69434
b1024	ASAP	ABE-0003469
b1024	ECOCYC	G6531
b1024	GeneID	945596
b1025	UniProtKB/Swiss-Prot	P75908
b1025	ASAP	ABE-0003472
b1025	ECOCYC	G6532
b1025	GeneID	945593
b1026	UniProtKB/Swiss-Prot	P0CF82
b1026	ASAP	ABE-0003475
b1026	ECOCYC	G6533
b1026	GeneID	945587
b1027	UniProtKB/Swiss-Prot	P0CF69
b1027	ASAP	ABE-0003477
b1027	ECOCYC	G6534
b1027	GeneID	945584
b1029	UniProtKB/Swiss-Prot	P75910
b1029	ASAP	ABE-0003489
b1029	ECOCYC	G6536
b1029	GeneID	945592
b1033	UniProtKB/Swiss-Prot	P75913
b1033	ASAP	ABE-0003503
b1033	ECOCYC	G6539
b1033	GeneID	946431
b1034	UniProtKB/Swiss-Prot	P75914
b1034	ASAP	ABE-0003508
b1034	ECOCYC	G6540
b1034	GeneID	948477
b1035	UniProtKB/Swiss-Prot	P75915
b1035	ASAP	ABE-0003511
b1035	ECOCYC	G6541
b1035	GeneID	945609
b1036	UniProtKB/Swiss-Prot	P75916
b1036	ASAP	ABE-0003514
b1036	ECOCYC	G6542
b1036	GeneID	945617
b1037	UniProtKB/Swiss-Prot	P0AEA2
b1037	ASAP	ABE-0003516
b1037	ECOCYC	G6543
b1037	GeneID	945619
b1038	UniProtKB/Swiss-Prot	P0AE98
b1038	ASAP	ABE-0003519
b1038	ECOCYC	G6544
b1038	GeneID	945622
b1039	UniProtKB/Swiss-Prot	P0AE95
b1039	ASAP	ABE-0003528
b1039	ECOCYC	G6545
b1039	GeneID	945711
b1040	UniProtKB/Swiss-Prot	P52106
b1040	ASAP	ABE-0003530
b1040	ECOCYC	G6546
b1040	GeneID	949119
b1041	UniProtKB/Swiss-Prot	P0ABK7
b1041	ASAP	ABE-0003534
b1041	ECOCYC	G6547
b1041	GeneID	947391
b1042	UniProtKB/Swiss-Prot	P28307
b1042	ASAP	ABE-0003537
b1042	ECOCYC	EG11489
b1042	GeneID	949055
b1043	UniProtKB/Swiss-Prot	P52107
b1043	ASAP	ABE-0003542
b1043	ECOCYC	G6548
b1043	GeneID	945623
b1044	UniProtKB/Swiss-Prot	P75917
b1044	ASAP	ABE-0003545
b1044	ECOCYC	G6549
b1044	GeneID	949012
b1045	UniProtKB/Swiss-Prot	P0A8D6
b1045	ASAP	ABE-0003549
b1045	ECOCYC	G6550
b1045	GeneID	946987
b1046	UniProtKB/Swiss-Prot	P75919
b1046	ASAP	ABE-0003551
b1046	ECOCYC	G6551
b1046	GeneID	947321
b1047	UniProtKB/Swiss-Prot	P75920
b1047	ASAP	ABE-0003553
b1047	ECOCYC	G6552
b1047	GeneID	946944
b1048	UniProtKB/Swiss-Prot	P33136
b1048	ASAP	ABE-0003558
b1048	ECOCYC	EG11885
b1048	GeneID	945005
b1049	UniProtKB/Swiss-Prot	P62517
b1049	ASAP	ABE-0003560
b1049	ECOCYC	EG11886
b1049	GeneID	945624
b1050	UniProtKB/Swiss-Prot	P0AB31
b1050	ASAP	ABE-0003565
b1050	ECOCYC	EG12689
b1050	GeneID	945613
b1051	UniProtKB/Swiss-Prot	P25738
b1051	ASAP	ABE-0003567
b1051	ECOCYC	EG11338
b1051	GeneID	945612
b1053	UniProtKB/Swiss-Prot	P25744
b1053	ASAP	ABE-0003572
b1053	ECOCYC	EG11343
b1053	GeneID	945627
b1054	UniProtKB/Swiss-Prot	P0ACV0
b1054	ASAP	ABE-0003574
b1054	ECOCYC	EG10464
b1054	GeneID	946216
b1055	UniProtKB/Swiss-Prot	P24188
b1055	ASAP	ABE-0003581
b1055	ECOCYC	EG11116
b1055	GeneID	945601
b1056	UniProtKB/Swiss-Prot	P0A8X2
b1056	ASAP	ABE-0003583
b1056	ECOCYC	EG11820
b1056	GeneID	946145
b1057	UniProtKB/Swiss-Prot	P75925
b1057	ASAP	ABE-0003585
b1057	ECOCYC	G6554
b1057	GeneID	945628
b1058	UniProtKB/Swiss-Prot	P64442
b1058	ASAP	ABE-0003588
b1058	ECOCYC	G6555
b1058	GeneID	945629
b1059	UniProtKB/Swiss-Prot	P40874
b1059	ASAP	ABE-0003590
b1059	ECOCYC	G6556
b1059	GeneID	944983
b1060	UniProtKB/Swiss-Prot	P0AB33
b1060	ASAP	ABE-0003594
b1060	ECOCYC	G6557
b1060	GeneID	946104
b1061	UniProtKB/Swiss-Prot	P0ABR1
b1061	ASAP	ABE-0003599
b1061	ECOCYC	G6558
b1061	GeneID	945022
b1062	UniProtKB/Swiss-Prot	P05020
b1062	ASAP	ABE-0003607
b1062	ECOCYC	EG10806
b1062	GeneID	945787
b1063	UniProtKB/Swiss-Prot	P0AB26
b1063	ASAP	ABE-0003611
b1063	ECOCYC	EG11117
b1063	GeneID	947377
b1064	UniProtKB/Swiss-Prot	P0AC59
b1064	ASAP	ABE-0003615
b1064	ECOCYC	EG12688
b1064	GeneID	946926
b1065	UniProtKB/Swiss-Prot	P69367
b1065	ASAP	ABE-0003618
b1065	ECOCYC	G6559
b1065	GeneID	946920
b1066	UniProtKB/Swiss-Prot	P0A948
b1066	ASAP	ABE-0003622
b1066	ECOCYC	EG10851
b1066	GeneID	946910
b1067	UniProtKB/Swiss-Prot	P29217
b1067	ASAP	ABE-0003625
b1067	ECOCYC	EG11537
b1067	GeneID	945633
b1068	UniProtKB/Swiss-Prot	P75931
b1068	ASAP	ABE-0003627
b1068	ECOCYC	G6560
b1068	GeneID	945204
b1069	UniProtKB/Swiss-Prot	P0AF16
b1069	ASAP	ABE-0003630
b1069	ECOCYC	G6561
