bnumber	Site
b0303	TU0-12885
b0304	TU0-12885
b0305	TU0-12886
b0306	TU0-12887
b0307	TU0-12887
b0308	TU0-12887
b0310	TU0-12888
b0311	TU00115
b0312	TU00115
b0313	TU00115
b0314	TU00116
b0315	TU0-12889
b0315	TU0-14408
b0315	TU0-45142
b0316	TU0-12890
b0317	TU0-12891
b0318	TU0-12892
b0319	TU0-12892
b0319	TU0-14781
b0320	TU0-12892
b0321	TU0-12892
b0322	TU0-12893
b0323	TU0-12894
b0324	TU0-12894
b0325	TU0-12895
b0326	TU0-12896
b0327	TU0-12897
b0328	TU0-8548
b0329	TU0-8549
b0330	TU0-7221
b0331	TU0-3602
b0333	TU0-3602
b0334	TU0-3602
b0335	TU0-3602
b0336	TU00197
b0337	TU00197
b0338	TU00143
b0339	TU0-14378
b0339	TU00142
b0340	TU0-14378
b0340	TU00142
b0341	TU00142
b0342	TU0-14521
b0342	TU0-4701
b0342	TU0-4702
b0342	TU0-4703
b0342	TU00036
b0343	TU0-14521
b0343	TU0-4701
b0343	TU0-4702
b0343	TU0-4703
b0343	TU00036
b0344	TU0-4701
b0344	TU0-4702
b0344	TU0-4703
b0344	TU00036
b0345	TU0-2405
b0345	TU0-36427
b0345	TU0-6508
b0346	TU0-2405
b0346	TU0-36427
b0347	TU0-2402
b0348	TU0-2402
b0349	TU0-2402
b0350	TU0-2402
b0351	TU0-2402
b0352	TU0-2402
b0353	TU0-12900
b0354	TU0-12901
b0355	TU0-12902
b0356	TU0-12902
b0357	TU0-12902
b0358	TU0-12903
b0360	TU0-12904
b0361	TU0-12904
b0363	TU0-12906
b0364	TU0-4401
b0365	TU302
b0366	TU302
b0367	TU302
b0368	TU302
b0369	TU0-12908
b0372	TU0-12910
b0373	TU0-12910
b0375	TU0-12912
b0376	TU0-14612
b0376	TU0-8768
b0377	TU0-3426
b0378	TU0-3426
b0379	TU0-8551
b0380	TU0-8554
b0381	TU0-8784
b0382	TU0-12913
b0382	TU0-14613
b0383	TU00052
b0384	TU0-44195
b0384	TU00052
b0385	TU0-8872
b0386	TU0-8493
b0387	TU0-12914
b0388	TU0-42568
b0388	TU00011
b0389	TU0-14546
b0389	TU0-42568
b0389	TU00011
b0390	TU0-14546
b0390	TU0-42568
b0390	TU0-44218
b0390	TU00011
b0391	TU0-12915
b0393	TU0-8495
b0394	TU0-8828
b0396	TU00099
b0397	TU0-12917
b0398	TU0-12917
b0399	TU00053
b0400	TU00053
b0401	TU0-12918
b0402	TU0-12918
b0403	TU0-5402
b0404	TU0-8764
b0405	TU871
b0406	TU870
b0407	TU869
b0407	TU870
b0408	TU869
b0409	TU869
b0410	TU0-12919
b0411	TU00449
b0411	TU00450
b0412	TU0-12920
b0413	TU0-12921
b0414	TU0-12921
b0415	TU0-12921
b0415	TU0-14466
b0416	TU0-12921
b0416	TU0-14466
b0417	TU0-12921
b0417	TU0-14466
b0418	TU0-12921
b0418	TU0-14466
b0419	TU0-14500
b0419	TU00373
b0420	TU00373
b0421	TU00373
b0422	TU00373
b0423	TU0-8529
b0424	TU0-12924
b0425	TU0-12924
b0426	TU0-8555
b0427	TU0-12925
b0428	TU00101
b0429	TU00101
b0430	TU00101
b0431	TU00101
b0432	TU00101
b0433	TU0-12926
b0433	TU0-42605
b0434	TU0-12927
b0434	TU0-42605
b0435	TU0-14251
b0435	TU0-45284
b0435	TU00386
b0436	TU0-12928
b0436	TU0-14252
b0436	TU0-14614
b0437	TU0-14490
b0437	TU00251
b0437	TU00419
b0438	TU0-14455
b0438	TU0-14490
b0438	TU00251
b0438	TU00419
b0439	TU0-14455
b0439	TU0-45285
b0439	TU0-4931
b0440	TU487
b0440	TU488
b0440	TU489
b0440	TU490
b0441	TU0-6621
b0441	TU0-6622
b0442	TU0-12931
b0443	TU0-12932
b0444	TU0-12933
b0445	TU0-12934
b0446	TU0-12935
b0447	TU0-12936
b0448	TU0-12937
