bnumber	GOTerm
b0037	GO:0009437
b0037	GO:0016405
b0037	GO:0016878
b0037	GO:0051108
b0037	GO:0051109
b0038	GO:0005737
b0038	GO:0008410
b0038	GO:0008735
b0038	GO:0042413
b0039	GO:0003995
b0039	GO:0005737
b0039	GO:0009437
b0039	GO:0050660
b0039	GO:0052890
b0040	GO:0005886
b0040	GO:0009437
b0040	GO:0015226
b0040	GO:0015879
b0040	GO:0016021
b0040	GO:0022857
b0040	GO:0044667
b0040	GO:1900751
b0041	GO:0009055
b0041	GO:0009437
b0041	GO:0042413
b0042	GO:0009055
b0042	GO:0009437
b0042	GO:0033539
b0042	GO:0042413
b0042	GO:0050660
b0043	GO:0009437
b0043	GO:0016491
b0043	GO:0071949
b0044	GO:0005506
b0044	GO:0051539
b0045	GO:0005886
b0045	GO:0006979
b0045	GO:0016021
b0045	GO:0022857
b0046	GO:0003955
b0046	GO:0005886
b0046	GO:0006813
b0046	GO:0008753
b0046	GO:0009055
b0046	GO:0010181
b0046	GO:0032414
b0046	GO:0050136
b0046	GO:1901381
b0047	GO:0000166
b0047	GO:0005886
b0047	GO:0005887
b0047	GO:0006813
b0047	GO:0006885
b0047	GO:0009636
b0047	GO:0015299
b0047	GO:0015503
b0047	GO:0015643
b0047	GO:0016020
b0047	GO:0019899
b0047	GO:0051595
b0048	GO:0004146
b0048	GO:0005542
b0048	GO:0005829
b0048	GO:0006545
b0048	GO:0006730
b0048	GO:0031427
b0048	GO:0042493
b0048	GO:0046452
b0048	GO:0046654
b0048	GO:0046655
b0048	GO:0046677
b0048	GO:0050661
b0048	GO:0051870
b0048	GO:0051871
b0048	GO:0070401
b0048	GO:0070402
b0049	GO:0008796
b0049	GO:0008803
b0049	GO:0010165
b0049	GO:0015949
b0049	GO:0110154
b0050	GO:0070987
b0051	GO:0000028
b0051	GO:0000179
b0051	GO:0003690
b0051	GO:0003729
b0051	GO:0005829
b0051	GO:0006364
b0051	GO:0019843
b0051	GO:0031167
b0051	GO:0046677
b0051	GO:0052908
b0051	GO:0070475
b0052	GO:0000287
b0052	GO:0005737
b0052	GO:0008270
b0052	GO:0008615
b0052	GO:0042802
b0052	GO:0042823
b0052	GO:0050570
b0052	GO:0050897
b0052	GO:0051287
b0053	GO:0003755
b0053	GO:0006457
b0053	GO:0030288
b0053	GO:0042277
b0053	GO:0043165
b0053	GO:0050821
b0053	GO:0051082
b0053	GO:0060274
b0053	GO:0061077
b0054	GO:0009279
b0054	GO:0010033
b0054	GO:0015921
b0054	GO:0043165
b0054	GO:1990351
b0055	GO:0005886
b0055	GO:0016020
b0055	GO:0016021
b0055	GO:0051087
b0057	NA
b0058	GO:0000455
b0058	GO:0001522
b0058	GO:0003723
b0058	GO:0006364
b0058	GO:0008033
b0058	GO:0009451
b0058	GO:0009982
b0058	GO:0031118
b0058	GO:0031119
b0058	GO:0106029
b0058	GO:0120159
b0059	GO:0001000
b0059	GO:0003676
b0059	GO:0003677
b0059	GO:0004386
b0059	GO:0005524
b0059	GO:0005737
b0059	GO:0016887
b0059	GO:0045893
b0059	GO:0070615
b0060	GO:0000166
b0060	GO:0003677
b0060	GO:0003887
b0060	GO:0006261
b0060	GO:0008296
b0060	GO:0009432
b0060	GO:0045004
b0061	GO:0005829
b0061	GO:0008270
b0061	GO:0008742
b0061	GO:0016832
b0061	GO:0019323
b0061	GO:0019324
b0061	GO:0019569
b0061	GO:0051289
b0062	GO:0005829
b0062	GO:0008733
b0062	GO:0019568
b0062	GO:0019569
b0062	GO:0030145
b0063	GO:0005524
b0063	GO:0005737
b0063	GO:0008741
b0063	GO:0016052
b0063	GO:0016773
b0063	GO:0019150
b0063	GO:0019568
b0063	GO:0019569
b0063	GO:0019572
b0064	GO:0000976
b0064	GO:0001217
b0064	GO:0005829
b0064	GO:0019568
b0064	GO:0032993
b0064	GO:0042802
b0065	GO:0005886
b0065	GO:0010212
b0065	GO:0016021
b0065	GO:0043093
b0066	GO:0005524
b0066	GO:0005886
b0066	GO:0015234
b0066	GO:0016021
b0066	GO:0048502
b0066	GO:0071934
b0067	GO:0005886
b0067	GO:0015234
b0067	GO:0016021
b0067	GO:0071934
b0068	GO:0015888
b0068	GO:0030288
b0068	GO:0030975
b0068	GO:0030976
b0068	GO:0055085
b0069	GO:0000984
b0069	GO:0015833
b0069	GO:0030288
b0069	GO:0045892
b0069	GO:0045893
b0069	GO:1904680
b0070	GO:0005351
b0070	GO:0005886
b0070	GO:0005887
b0070	GO:0015767
b0070	GO:0034219
b0070	GO:0036448
b0070	GO:0055085
b0070	GO:1904659
b0071	GO:0003861
b0071	GO:0005829
b0071	GO:0009082
b0071	GO:0009098
b0071	GO:0009316
b0072	GO:0003861
b0072	GO:0005829
b0072	GO:0009082
b0072	GO:0009098
b0072	GO:0046872
b0072	GO:0051539
b0073	GO:0000287
b0073	GO:0003862
b0073	GO:0005829
b0073	GO:0009082
b0073	GO:0009098
b0073	GO:0030145
b0073	GO:0034198
b0073	GO:0046872
b0073	GO:0051287
b0074	GO:0003852
b0074	GO:0003985
b0074	GO:0005829
b0074	GO:0009082
b0074	GO:0009098
b0075	GO:0009082
b0075	GO:0009098
b0076	GO:0003700
b0076	GO:0006355
b0076	GO:0032993
b0076	GO:0043565
b0077	GO:0000287
b0077	GO:0003984
b0077	GO:0005829
b0077	GO:0005948
b0077	GO:0009097
b0077	GO:0009099
b0077	GO:0030976
b0077	GO:0050660
b0078	GO:0003984
b0078	GO:0005829
b0078	GO:0009097
b0078	GO:0009099
b0078	GO:1990610
b0079	NA
b0080	GO:0000976
b0080	GO:0000986
b0080	GO:0003700
b0080	GO:0006355
b0080	GO:0009750
b0080	GO:0042802
b0080	GO:2000142
b0081	GO:0000976
b0081	GO:0003700
b0081	GO:0005737
b0081	GO:0009295
b0081	GO:0043565
b0081	GO:0045892
b0081	GO:2000143
b0082	GO:0005737
b0082	GO:0005829
b0082	GO:0070475
b0082	GO:0071424
b0083	GO:0005887
