id	desc	pval	common_size	target_size
334257	https://pubmed.ncbi.nlm.nih.gov/334257	6.02e-04	2	2
10620359	https://pubmed.ncbi.nlm.nih.gov/10620359	6.02e-04	2	2
10891088	https://pubmed.ncbi.nlm.nih.gov/10891088	6.02e-04	2	2
18438875	https://pubmed.ncbi.nlm.nih.gov/18438875	6.02e-04	2	2
19026742	https://pubmed.ncbi.nlm.nih.gov/19026742	6.02e-04	2	2
7765717	https://pubmed.ncbi.nlm.nih.gov/7765717	6.02e-04	2	2
17545286	https://pubmed.ncbi.nlm.nih.gov/17545286	6.02e-04	2	2
7606663	https://pubmed.ncbi.nlm.nih.gov/7606663	6.02e-04	2	2
28186174	https://pubmed.ncbi.nlm.nih.gov/28186174	6.02e-04	2	2
2536666	https://pubmed.ncbi.nlm.nih.gov/2536666	6.02e-04	2	2
375230	https://pubmed.ncbi.nlm.nih.gov/375230	6.02e-04	2	2
2192229	https://pubmed.ncbi.nlm.nih.gov/2192229	6.02e-04	2	2
9767563	https://pubmed.ncbi.nlm.nih.gov/9767563	6.02e-04	2	2
15516572	https://pubmed.ncbi.nlm.nih.gov/15516572	6.02e-04	2	2
6349639	https://pubmed.ncbi.nlm.nih.gov/6349639	6.02e-04	2	2
4588201	https://pubmed.ncbi.nlm.nih.gov/4588201	6.02e-04	2	2
9692215	https://pubmed.ncbi.nlm.nih.gov/9692215	6.02e-04	2	2
4882105	https://pubmed.ncbi.nlm.nih.gov/4882105	6.02e-04	2	2
3887985	https://pubmed.ncbi.nlm.nih.gov/3887985	6.02e-04	2	2
4908533	https://pubmed.ncbi.nlm.nih.gov/4908533	6.02e-04	2	2
9534244	https://pubmed.ncbi.nlm.nih.gov/9534244	6.02e-04	2	2
9339543	https://pubmed.ncbi.nlm.nih.gov/9339543	6.02e-04	2	2
344273	https://pubmed.ncbi.nlm.nih.gov/344273	6.02e-04	2	2
6767710	https://pubmed.ncbi.nlm.nih.gov/6767710	6.02e-04	2	2
4590109	https://pubmed.ncbi.nlm.nih.gov/4590109	6.02e-04	2	2
