organism,id1,id2,coexpression
511145,b0003,b2533,57
511145,b0003,b1603,180
511145,b0003,b0779,59
511145,b0003,b2871,122
511145,b0003,b3153,58
511145,b0003,b0641,56
511145,b0003,b1009,58
511145,b0003,b3671,197
511145,b0003,b3770,176
511145,b0003,b3113,57
511145,b0003,b1637,151
511145,b0003,b3454,197
511145,b0003,b0095,56
511145,b0003,b2560,56
511145,b0003,b3769,131
511145,b0003,b1131,59
511145,b0003,b2400,56
511145,b0003,b1281,59
511145,b0003,b2329,425
511145,b0003,b0780,58
511145,b0003,b3607,54
511145,b0003,b0071,123
511145,b0003,b3225,82
511145,b0003,b3458,98
511145,b0003,b0929,85
511145,b0003,b2026,75
511145,b0003,b0078,342
511145,b0003,b0089,53
511145,b0003,b0077,138
511145,b0003,b0088,57
511145,b0003,b4399,54
511145,b0003,b3833,56
511145,b0003,b1748,59
511145,b0003,b1812,75
511145,b0003,b1714,245
511145,b0003,b4297,109
511145,b0003,b2913,156
511145,b0003,b0113,56
511145,b0003,b3212,192
511145,b0003,b0031,107
511145,b0003,b1264,75
511145,b0003,b2020,98
511145,b0003,b3774,217
511145,b0003,b1338,73
511145,b0003,b2905,59
511145,b0003,b1687,59
511145,b0003,b3404,54
511145,b0003,b3772,122
511145,b0003,b3829,137
511145,b0003,b0243,144
511145,b0003,b0870,59
511145,b0003,b3390,56
511145,b0003,b3407,85
511145,b0003,b2557,59
511145,b0003,b3735,99
511145,b0003,b3956,132
511145,b0003,b4040,59
511145,b0003,b1187,56
511145,b0003,b2467,44
511145,b0003,b1813,44
511145,b0003,b3960,65
511145,b0003,b1719,126
511145,b0003,b0448,53
511145,b0003,b1260,330
511145,b0003,b1062,175
511145,b0003,b0907,240
511145,b0003,b3737,58
511145,b0003,b0072,138
511145,b0003,b2507,168
511145,b0003,b0674,112
511145,b0003,b1704,79
511145,b0003,b2472,56
511145,b0003,b3783,54
511145,b0003,b0269,109
511145,b0003,b0166,127
511145,b0003,b0414,77
511145,b0003,b3384,58
511145,b0003,b2019,58
511145,b0003,b3940,419
511145,b0003,b3236,57
511145,b0003,b1263,58
511145,b0003,b3447,58
511145,b0003,b3771,216
511145,b0003,b4054,55
511145,b0003,b2021,85
511145,b0003,b3304,117
511145,b0003,b3430,167
511145,b0003,b2478,82
511145,b0003,b4024,118
511145,b0003,b0928,55
511145,b0003,b3288,111
511145,b0003,b1096,73
511145,b0003,b0526,55
511145,b0003,b1207,56
511145,b0003,b0388,56
511145,b0004,b3734,184
511145,b0004,b0169,122
511145,b0004,b3870,83
511145,b0004,b0052,57
511145,b0004,b0708,57
